Номенклатура,Номенклатура.Код,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
ВА47-29 (1ф) 40А IEK (12/144) ,010500010_,771,1094,722,707,891,635,721,1084,1032,359,978,693,767,1271,733,718,562,1227,1019,1225,711,1221,516,862,466,389,669,452,501,632,819,877,2280,27604
ВА47-29 (1ф) 50А IEK (12/144) ,010500011_,336,214,476,392,267,41,1073,35,73,142,633,155,40,221,131,99,609,274,346,244,186,385,221,743,737,342,278,111,187,211,260,441,464,10367
ВА47-29 (1ф) 63А IEK (12/144) ,010500012_,775,321,596,635,581,357,722,383,181,1194,830,390,705,261,135,650,357,354,227,172,332,848,417,906,310,410,208,763,61,265,664,343,708,16061
ВА47-29 (2ф)  10А GENERICA (6/72) !!!,010500147_,,,,,,6,,,,,,,,,,,,,5,,,,,,,,,,,,,,,11
ВА47-29 (2ф)  16А GENERICA (72) !!!,010500148_,,1,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6
ВА47-29 (2ф)  1А IEK (6/72) E-PRO,010500123_,,,120,,6,,16,,4,,,,,,,,,,,1,,,,,,,,,,,,,,147
ВА47-29 (2ф)  32А GENERICA (6/72) !!!,010500151_,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
ВА47-29 (2ф)  3А  IEK (6/72) E-PRO,010500187_,,,,6,,,5,,,,1,,,,,,5,,,,,,,,,,,,,,,,,17
ВА47-29 (2ф)  40А GENERICA (6/72) !!!,010500152_,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6
ВА47-29 (2ф)  4А IEK (72) *!!!,010500129_,,,,,,,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,9
ВА47-29 (2ф)  50А GENERICA (6/72) !!!,010500153_,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3
ВА47-29 (2ф)  5А IEK (6/72) !!!,ярп4665,,,,,,,,,,,,,,,,,,,,2,3,,,1,,,,,,,,,,6
ВА47-29 (2ф)  6А IEK (6/72) ,010500103_,104,52,72,23,105,334,-164,45,21,34,39,22,32,81,27,,59,70,154,99,475,39,88,75,7,45,40,15,54,224,509,427,382,3589
ВА47-29 (2ф) 10А IEK (6/72) ,010500018_,192,285,40,68,232,71,111,69,172,309,247,355,190,246,36,75,146,700,542,275,370,602,306,337,94,38,128,216,116,317,74,393,171,7523
ВА47-29 (2ф) 16А IEK (6/72),010500019_,2172,1489,662,1668,2171,1951,2896,2131,2383,2220,2024,1191,1449,1841,1265,1449,1336,2135,2946,2438,2584,2611,2995,2843,1739,2790,1420,1687,2200,2550,2837,2143,1371,67587
ВА47-29 (2ф) 20А IEK (6/72) ,010500020_,17,45,66,7,26,13,173,41,50,51,1,44,76,8,29,37,62,47,88,12,30,42,14,41,9,10,25,107,,,,46,13,1230
ВА47-29 (2ф) 25А IEK (6/72),010500021_,3634,2828,2337,3015,4608,4939,5442,3930,3869,3613,4917,3092,3807,3505,2243,5208,3070,3886,5246,4252,3587,4682,3378,4209,2915,3710,3771,4579,3614,3722,4386,6669,5050,131713
ВА47-29 (2ф) 32А IEK (6/72) ,010500022_,1517,909,795,786,1081,780,1238,1113,1042,1379,1113,1161,1917,751,654,1110,1058,1118,1534,1428,1467,1830,1129,1122,807,891,984,801,926,1130,1351,1254,638,36814
ВА47-29 (2ф) 40А IEK (6/72) ,010500023_,500,573,520,639,501,312,643,461,621,528,983,753,510,442,286,418,595,1285,463,396,303,1062,795,824,538,446,716,445,337,437,921,522,531,19306
ВА47-29 (2ф) 50А IEK (6/72) ,010500024_,1040,404,272,455,90,362,612,592,930,414,178,606,531,722,22,340,1217,38,231,137,158,287,694,152,106,105,197,756,51,143,185,178,113,12318
ВА47-29 (2ф) 63А IEK (6/72),010500025_,621,293,472,385,309,390,389,493,358,481,508,348,661,192,158,86,85,937,341,463,253,362,682,622,220,330,87,2469,127,142,372,158,537,14331
ВА47-29 (3ф)  2А IEK (4/48),010500046_,1,,4,17,3,8,5,8,,9,1,73,-20,,12,22,45,4,8,5,5,16,6,4,2,1,20,2,,18,4,5,4,292
ВА47-29 (3ф)  32А GENERICA (4/48) !!!,010500160_,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
ВА47-29 (3ф)  3А IEK (4/48),010500053_,,7,,,,10,9,16,,22,3,5,5,4,4,13,,,2,,4,,,30,,,,1,,,,,1,136
"ВА47-29 (3ф)  4А 4,5кА х-ка D IEK !!!",щт02230193,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
ВА47-29 (3ф)  4А IEK (4/48),010500047_,10,,1,5,2,,10,19,2,20,26,51,5,2,5,16,,3,3,,5,,8,32,3,,,3,6,3,11,,3,254
ВА47-29 (3ф)  5А IEK (4/48) !!!,010500050_,,,,,,,1,1,,1,,,,,,,,,,1,,,1,,,,,,,,,,,5
ВА47-29 (3ф)  6А IEK (4/48),010500048_,127,23,58,83,63,58,89,35,88,100,82,67,40,75,28,176,20,64,19,47,111,95,38,32,30,24,7,129,26,54,27,30,75,2020
ВА47-29 (3ф)  8А IEK (4/48) !!!,010500136_,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,3
ВА47-29 (3ф) 10А IEK (4/48),010500032_,296,242,74,212,250,228,290,251,292,271,360,270,378,103,144,249,204,357,272,199,258,171,159,121,124,154,88,136,109,77,51,120,322,6832
"ВА47-29 (3ф) 13А 4,5кА С IEK !!!",MVA20-3-013-C,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ВА47-29 (3ф) 16А IEK (4/48),010500033_,1318,661,574,1062,1268,715,1462,1059,1149,1139,1091,887,997,811,698,662,641,836,894,790,1019,877,854,963,559,572,400,836,649,773,817,825,570,28428
ВА47-29 (3ф) 16А IEK (48) B !!!,010700068_,,,,,,,,,,1,,2,,,4,,,,,6,8,,,,,,,,,,,,3,24
ВА47-29 (3ф) 16А х-ка D IEK (4/48) E-PRO,010700041_,,,,,,,4,,8,,,,1,,,,4,,,,,,,,,,,,,,,,,17
"ВА47-29 (3ф) 20А 4,5кА х-ка D IEK !!!",010700042_,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
ВА47-29 (3ф) 20А IEK (4/48),010500034_,-42,57,204,94,60,128,186,163,300,125,174,115,155,50,27,68,50,79,122,55,143,154,123,92,18,61,24,45,117,69,88,81,134,3319
ВА47-29 (3ф) 25А D IEK !!!,010700043_,,,,,,5,4,,,1,,,,1,,,9,,,,,,,,,,,,,,,,,20
ВА47-29 (3ф) 25А IEK (4/48),010500035_,2255,1597,1201,2237,1709,1920,2713,2233,2537,1950,2011,2259,1554,1470,1525,1598,1411,1406,1952,1725,1619,1940,1812,1782,1430,841,1158,1654,1313,1615,1643,1668,1451,57189
ВА47-29 (3ф) 32А D IEK !!!,010700044_,,,,,,,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,4
ВА47-29 (3ф) 32А IEK (4/48),010500036_,1807,1353,985,1520,1369,1439,2191,1930,1733,1436,1917,1713,1472,1613,1264,1413,1400,1284,1645,1619,1327,1551,1615,1204,1310,832,979,1386,989,1430,1520,1640,1127,48013
ВА47-29 (3ф) 40А D IEK !!!,010700045_,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,4
ВА47-29 (3ф) 40А IEK (4/48),010500037_,1639,933,904,696,865,763,1028,1181,750,845,1396,795,1003,752,785,761,827,978,1042,965,885,681,1044,1380,679,639,529,700,491,858,1049,765,766,29374
ВА47-29 (3ф) 40А IEK (4/48) В !!!,010700071_,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,3,3,,,10
"ВА47-29 (3ф) 50А 4,5кА х-ка D IEK !!!",щщ11503042,,,,,,,,6,,,1,,,2,,,,,,,,,,,,,,,,,,,,9
ВА47-29 (3ф) 50А IEK (4/48),010500038_,657,407,413,426,418,516,488,669,667,767,600,1051,604,367,351,913,569,583,464,619,363,489,524,819,432,291,313,306,398,305,537,294,486,17106
ВА47-29 (3ф) 63А D IEK !!!,010700046_,,,,,,,1,,,,1,,,,,,1,,,,,3,,,,,,,,,,,,6
ВА47-29 (3ф) 63А IEK (4/48),010500039_,2192,1751,993,1620,1514,1611,1580,1530,1777,1388,1510,2036,1655,1396,1071,1447,1326,1803,1690,2138,1232,1074,1629,1883,1260,1158,997,1127,891,1147,1504,1346,881,48157
ВА47-29 (3ф) 63А IEK (4/48) D !!!,щщ0001047,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ВА47-29 (4ф) 10А IEK (36) !!!,ст-9952711,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,315,,,,317
ВА47-29 (4ф) 16А IEK (3/36),010500090_,2,6,16,10,18,,10,11,4,4,2,5,3,8,4,7,17,17,,3,4,15,22,100,,3,,7,23,5,5,6,10,347
ВА47-29 (4ф) 20А IEK (3/36),010500091_,,,,,,,,1,,,3,,,,3,,1,,,,,,,2,,1,,,,,,,,11
ВА47-29 (4ф) 25А IEK (3/36),010500092_,15,10,15,9,16,4,25,22,24,4,16,8,2,44,7,13,29,24,11,12,11,16,10,32,2,12,2,30,4,13,5,10,2,459
ВА47-29 (4ф) 32А IEK (3/36),010500093_,17,15,7,18,10,21,25,29,5,11,32,12,23,37,6,,70,26,34,4,16,47,8,50,24,18,7,9,12,32,23,2,28,678
ВА47-29 (4ф) 40А IEK (3/36),010500094_,15,10,33,16,53,19,10,9,13,9,31,61,21,15,9,23,36,24,12,74,6,23,12,26,14,6,2,15,8,8,17,30,20,680
ВА47-29 (4ф) 50A IEK (3/36),010500063_,1,16,13,5,4,1,3,10,6,5,29,2,6,7,5,4,22,6,2,3,27,10,7,13,1,7,2,37,4,5,13,6,,282
ВА47-29 (4ф) 63А IEK (3/36),010500095_,2,20,2,20,25,9,5,6,7,15,16,20,34,15,43,5,76,3,18,3,16,17,53,47,75,31,12,44,7,46,26,10,20,748
ВА47-29М (2ф) 63А IEK (72) !!!,010500082_,,,,,,,,,,,,,,,,,,13,,,,1,,,,3,,,,,,,,17
Вентилятор с фильтром 102 куб.м./час IP55 IEK (8) NEW,270300285_,,,1,,,,5,,3,1,1,,,,,2,,5,7,2,,2,4,,,,1,5,,,1,,,40
Вентилятор с фильтром 21 куб.м./час IP55 IEK (18) NEW,270300231_,,,,3,8,1,1,,,3,3,1,,,,,2,5,3,2,,7,3,2,,3,,6,,3,3,4,1,64
Вентилятор с фильтром 55 куб.м./час IP55 IEK (12) NEW,270300284_,1,,1,3,1,7,,16,,,3,2,,,,2,,7,9,1,,11,,,,1,,2,,,3,2,,72
Вентилятор с фильтром ВФИ 105 м3/час IP55 IEK (20) NEW,270300288_,,18,6,1,2,9,,,18,-1,2,,,3,,12,2,4,8,6,2,13,4,3,1,4,5,10,6,7,4,4,1,154
Вентилятор с фильтром ВФИ 200 м3/час IP55 IEK (10) NEW,270300289_,,,,3,2,,,,4,2,4,2,,,,3,3,4,2,,,,6,,,,1,3,,5,3,2,,49
Вентилятор с фильтром ВФИ 24 м3/час IP55 IEK (30) NEW,270300286_,1,,2,9,10,1,4,,1,7,,,,,,8,3,,6,,8,5,,,,8,,1,6,1,5,7,8,101
Вентилятор с фильтром ВФИ 380 м3/час IP55 IEK (8) NEW,270300290_,,1,,,,5,,4,,,,,,2,1,,3,1,4,1,1,2,,,3,,,,1,,,,,29
Вентилятор с фильтром ВФИ 480 м3/час IP55 IEK (5) NEW,270300291_,,,,,,1,1,,,,,,,,,,,,1,15,4,5,1,,,,4,,,,,,1,33
Вентилятор с фильтром ВФИ 550 м3/час IP55 IEK (5) NEW,270300292_,,,,,,,8,,1,,,,,,,1,,2,,2,,1,,,,,,,,,,,,15
Вентилятор с фильтром ВФИ 65 м3/час IP55 IEK (20) NEW,270300287_,,,1,2,,4,3,8,8,4,,6,,1,,13,,,2,7,4,12,,10,1,14,2,,10,8,5,20,,145
Вентилятор с фильтром ВФИ 700 м3/час IP55 IEK (4) NEW,270300293_,,,,1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,2,10
Вилка для плиты ВПпл10-01-Ст з/к 32А белая IEK,130300775_,4,10,5,15,,5,10,8,6,,12,4,14,,10,,,2,12,,1,1,,3,,4,,,15,1,,,2,144
Вилка закорачивающая для CTS-DT 6мм2 2PIN IEK,130301739_,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4
Винт с гладкой головкой и квадратным подголов. M6х30 IEK,CMZ11-VT-06-030,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500
ВКИ-230 3Р 16А 230\400В IP40 IEK (10/100),130900001_,5,6,20,5,15,6,7,21,1,5,22,6,1,29,21,,,35,2,3,5,44,,6,32,3,2,,3,2,13,3,3,326
Внешний изменяемый угол  80х40  ПРАЙМЕР (108),280100116_,2,1,156,22,6,,62,10,15,94,,15,9,3,3,108,4,5,34,8,4,22,3,16,,10,4,32,24,11,33,4,1,721
Внешний изменяемый угол 100х40  ПРАЙМЕР (108),280200166_,6,2,45,16,20,23,34,43,15,56,45,25,8,2,21,11,16,10,9,30,4,44,7,23,31,8,14,7,23,9,,18,1,626
Внешний изменяемый угол 100х60  ПРАЙМЕР (108)!!!,ст-9951104,,,,,,,,,1,2,4,,10,,,,,,,,,,,,,,,,,,,,,17
Внешний угол КМН 100х40 Белый ЭЛЕКОР IEK (2) ,280200031_,25,,1,10,,,22,3,13,1,21,3,4,27,1,7,39,3,,,26,6,6,18,14,,30,,6,16,1,2,4,309
Внешний угол КМН 100х60 Белый ЭЛЕКОР IEK (2),280200032_,21,31,137,9,53,8,,263,44,276,65,10,24,15,105,20,21,55,41,21,28,52,81,111,6,18,34,88,34,13,92,16,10,1802
Внешний угол КМН 15х10 Белый ЭЛЕКОР IEK (4),280200033_,16,2,4,30,3,20,44,8,370,32,65,3,30,10,26,122,27,68,100,158,6,15,,37,15,48,6,40,50,30,5,,10,1400
Внешний угол КМН 16х16 Белый ЭЛЕКОР IEK (4),280200034_,145,,58,103,35,5,30,44,174,80,,30,,15,2,,12,28,107,70,34,34,3,11,,48,-2,,35,48,,50,,1199
Внешний угол КМН 20х10 Белый ЭЛЕКОР IEK (4),280200035_,20,,27,25,,,20,3,,40,32,10,6,,,17,53,50,80,110,4,3,5,90,50,90,,4,,28,,10,156,933
Внешний угол КМН 25х16 Белый ЭЛЕКОР IEK (4),280200087_,235,10,88,160,145,325,336,109,152,382,25,111,48,4,234,280,17,,,307,36,165,84,103,11,146,114,54,71,113,70,12,14,3961
Внешний угол КМН 40х16 Белый ЭЛЕКОР IEK (4),280200088_,,,,,24,,10,279,10,,,49,12,,,22,4,5,23,35,85,50,8,19,8,6,8,,,2,,,,659
Внешний угол КМН 40х25 Белый ЭЛЕКОР IEK (4),280200108_,86,29,164,213,301,6,27,5,34,111,82,75,14,81,77,11,286,129,60,55,,,50,71,23,126,78,139,12,140,87,34,,2606
Внешний угол КМН 60х40 Белый ЭЛЕКОР IEK (4),280200036_,8,52,23,2,22,47,88,191,42,19,263,28,,,6,31,37,118,183,76,4,68,20,49,42,75,14,185,17,68,93,96,131,2098
Внутренний изменяемый угол  80х40  ПРАЙМЕР (108),280100117_,2,4,8,11,10,10,60,63,31,69,5,28,18,3,7,46,29,21,47,49,18,30,5,18,10,20,19,49,44,21,19,11,3,788
Внутренний изменяемый угол 100х40  ПРАЙМЕР (108),280200167_,33,4,60,43,45,34,115,26,30,129,24,57,23,5,15,8,38,40,20,31,14,47,32,32,57,16,32,21,48,36,1,18,3,1137
Внутренний изменяемый угол 100х60  ПРАЙМЕР (72),ст-9951105,12,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,16
Внутренний угол КМВ 100х40 Белый ЭЛЕКОР IEK (2),280200109_,,1,12,8,,,10,16,2,,15,,,,,,32,,,,28,8,,24,,,26,8,12,18,18,,8,246
Внутренний угол КМВ 100х60 Белый ЭЛЕКОР IEK (2) ,280200037_,25,59,10,13,96,8,,25,40,260,192,4,16,,214,1,48,93,30,65,52,23,69,12,2,5,28,1,46,47,2,39,29,1554
Внутренний угол КМВ 15х10 Белый ЭЛЕКОР IEK (4),280200085_,90,2,4,30,5,20,44,9,140,36,19,73,,10,6,63,8,60,,3,5,15,8,36,15,15,4,40,50,1,3,2,32,848
Внутренний угол КМВ 16х16 Белый ЭЛЕКОР IEK (4),280200038_,87,3,50,105,37,5,46,14,82,85,26,,,,1,5,4,28,30,36,34,17,3,9,,58,,,36,48,,50,,899
Внутренний угол КМВ 20х10 Белый ЭЛЕКОР IEK (4),280200039_,20,4,26,50,,,20,10,,94,32,12,4,,,15,104,51,50,93,1,1,,96,50,50,,4,,48,2,10,,847
Внутренний угол КМВ 25х16 Белый ЭЛЕКОР IEK (4),280200086_,184,25,98,169,93,112,317,77,554,163,107,51,27,14,243,220,2,60,65,290,11,191,4,42,15,182,95,64,157,190,66,12,24,3924
Внутренний угол КМВ 40х16 Белый ЭЛЕКОР IEK (4),280200040_,,,,,26,2,26,5,40,,,58,20,,,20,,16,35,2,6,44,13,145,2,28,7,,,2,,1,,498
Внутренний угол КМВ 40х25 Белый ЭЛЕКОР IEK (4),280200041_,73,89,46,519,298,63,57,8,35,120,122,100,19,64,314,16,216,182,44,370,374,33,153,77,26,133,93,288,47,157,209,28,14,4387
Внутренний угол КМВ 60х40 Белый ЭЛЕКОР IEK (4),280200042_,6,41,63,52,76,41,88,68,81,52,50,49,18,64,29,49,113,27,12,217,10,12,23,84,20,13,19,152,12,106,123,85,75,1930
"Вольтметр Э47 100В кл.точн. 1,5 96*96мм !!!",ст-9951312,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3
"Вольтметр Э47 500В кл. точн. 1,5 72х72 IEK (1/100)",130301016_,16,,,10,8,12,,4,26,8,6,2,3,3,,11,19,7,16,,4,4,1,18,5,2,,4,1,2,3,1,6,202
"Вольтметр Э47 500В кл. точн. 1,5 96х96мм IEK !!!",130300988_,,,,,1,,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,13
ВПу12-01-Ст Вилка разборная угловая с з/к с кольцом 16А белая,130301120_,57,,,6,22,42,128,22,169,30,36,48,7,61,33,260,11,8,22,31,72,8,27,14,14,10,,41,1,24,40,,6,1250
"Вывод кабеля ""BRITE"" алюминий (1/200)",030200908_,10,,,,,,23,,,,2,,3,,,,3,,2,,,3,,8,,5,1,1,,,1,1,,63
"Вывод кабеля ""BRITE"" белый (1/200)",030200905_,20,1,,23,13,9,26,7,1,6,25,12,9,1,1,7,4,5,16,5,13,4,15,4,4,12,3,3,19,1,3,2,1,275
"Вывод кабеля ""BRITE"" графит (1/200)",030200910_,12,4,7,2,13,1,7,,11,,1,,4,4,5,3,5,,,4,4,1,8,5,,1,,1,,,,,,103
"Вывод кабеля ""BRITE"" сталь (1/200)",030200909_,14,,13,3,1,2,47,1,,,,,4,7,,,,1,,3,3,1,7,3,2,,,,,,2,3,,117
"Вывод кабеля ""BRITE"" черный (1/200)",030200911_,12,23,10,17,9,4,18,15,23,5,14,20,9,,4,2,2,18,7,7,4,2,12,12,4,1,15,2,5,2,4,1,2,285
"Выкл 1-кл перекр 10А б/рамки ""BRITE"" белый (1/100)",030200456_,64,41,23,30,23,20,33,1,2,19,10,25,53,36,2,5,,35,28,19,14,28,30,11,26,25,21,13,19,33,2,8,5,704
"Выкл 1-кл перекрестный  10А б/рамки ""BRITE"" алюминий (1/100)",030200777_,1,4,,,1,10,,,,23,2,,,10,1,,,,,10,15,,,10,,,6,10,-20,,,7,,90
"Выкл 1-кл перекрестный  10А б/рамки ""BRITE"" шампань (1/100)",030200776_,30,4,10,2,1,,,10,1,1,3,2,,15,,10,,3,5,7,3,,6,-1,10,5,10,3,1,,4,,5,150
"Выкл 1-кл перекрестный  б/рамки 10А ""BRITE"" графит (1/100)",030200779_,57,25,6,24,1,11,11,12,-9,,23,1,49,25,1,11,1,,,-18,11,,11,11,2,1,,1,,14,,2,7,291
"Выкл 1-кл перекрестный  б/рамки 10А ""BRITE"" сталь (1/100)",030200778_,2,,,11,1,,11,,,2,-2,3,11,,10,,,25,,20,4,,,,,,,,-21,10,,1,,88
"Выкл 1-кл перекрестный 10А б/рамки ""BRITE"" жемчуг (1/100)",030200775_,,6,8,3,,,2,14,3,2,1,,1,,,1,2,2,1,,3,1,10,,,20,,,6,,,,,86
"Выкл 1-кл перекрестный 10А б/рамки ""BRITE"" чёрный (1/100)",030200780_,58,61,63,14,3,5,27,22,17,31,1,39,18,2,3,28,13,10,56,2,24,22,5,21,,,4,7,46,5,14,11,,632
"Выкл 1-кл. 10А б/рамки ""BRITE"" алюминий (1/100)",030200407_,140,69,130,134,173,139,116,76,187,45,122,107,170,130,110,156,142,56,135,181,197,78,30,215,101,177,74,50,136,152,24,185,66,4003
"Выкл 1-кл. 10А б/рамки ""BRITE"" бежевый (1/100)",030200828_,59,46,22,49,34,65,73,131,62,73,96,33,50,114,57,52,91,78,144,162,12,140,63,73,20,70,38,65,291,27,53,47,87,2477
"Выкл 1-кл. 10А б/рамки ""BRITE"" белый (1/100)",030200514_,310,434,410,700,289,403,384,1201,415,339,752,513,676,634,494,210,564,532,679,1078,268,346,767,557,598,386,248,536,448,367,401,509,661,17109
"Выкл 1-кл. 10А б/рамки ""BRITE"" графит (1/100)",030200472_,530,376,371,454,201,263,376,506,341,167,368,285,413,286,313,178,283,310,283,295,266,102,181,193,254,147,77,50,102,211,109,117,222,8630
"Выкл 1-кл. 10А б/рамки ""BRITE"" жемчуг (1/100)",030200420_,61,133,186,128,86,48,98,216,34,50,153,80,74,30,53,61,40,74,28,51,54,74,43,26,34,88,19,18,39,20,4,33,32,2168
"Выкл 1-кл. 10А б/рамки ""BRITE"" маренго (1/100)",030200551_,46,85,6,8,12,10,40,16,24,11,5,8,20,3,32,7,4,10,,31,8,10,27,18,,,,,2,9,3,,,455
"Выкл 1-кл. 10А б/рамки ""BRITE"" сталь (1/100)",030200500_,204,260,270,283,228,408,263,282,136,160,301,267,172,365,199,279,228,167,197,359,128,153,284,200,94,79,73,76,71,114,127,308,67,6802
"Выкл 1-кл. 10А б/рамки ""BRITE"" темная бронза (1/100)",030200811_,24,55,38,20,34,10,24,6,1,7,31,23,1,10,31,8,38,47,71,51,26,13,33,17,25,5,14,16,2,19,58,52,21,831
"Выкл 1-кл. 10А б/рамки ""BRITE"" черный (1/100)",030200486_,799,887,813,857,876,721,721,1113,1030,1085,751,1020,763,655,893,562,609,952,1197,1028,496,972,722,1065,697,612,513,658,647,651,622,747,514,26248
"Выкл 1-кл. 10А б/рамки ""BRITE"" шампань (1/100)",030200435_,113,143,108,130,143,68,149,196,136,66,152,138,149,64,117,165,246,166,275,146,257,59,199,149,128,115,118,125,101,183,45,62,128,4539
"Выкл 1-кл. 10А в сборе ""BRITE"" белый (1/100)",030200448_,334,278,1049,565,459,500,990,1084,1110,620,902,1456,512,734,456,591,1495,795,1664,1356,1001,1424,1085,1136,622,783,1043,639,470,907,1046,758,457,28321
"Выкл 1-кл. перекр 10А б/рамки ""BRITE"" бежевый (1/100)",030201018_,,,,2,,,10,10,4,20,2,,2,10,,,,4,13,1,,17,2,3,,,,,,,1,1,2,104
"Выкл 1-кл. перекр 10А б/рамки ""BRITE"" маренго (1/100)",030200933_,,10,,1,,,10,,10,,1,,,,1,,,1,,,1,,,,,,,,,,,,,35
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" алюминий (1/100)",030200412_,12,26,10,6,5,,4,10,37,7,-2,,,20,6,,,32,3,16,30,,1,11,2,11,13,,-6,,10,12,,276
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" бежевый (1/100)",030200833_,22,28,2,6,4,1,14,38,,8,17,2,8,24,12,,,6,41,14,20,46,6,8,,2,19,15,,17,17,14,41,452
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" белый (1/100)",030200454_,136,111,67,157,98,219,119,99,116,200,93,140,171,85,89,121,59,159,308,109,175,141,162,325,138,154,107,78,100,89,46,131,230,4532
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" графит (1/100)",030200477_,66,75,51,84,51,104,76,54,22,22,61,48,31,24,24,58,17,36,88,24,75,29,36,48,36,32,22,12,12,54,14,24,28,1438
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" жемчуг (1/100)",030200425_,2,17,38,24,4,2,42,5,2,4,10,12,10,,19,8,8,26,2,,12,13,16,2,3,26,28,8,12,2,,,10,367
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" маренго (1/100)",030200556_,4,30,1,4,1,,14,,,,,7,4,,4,4,,6,,2,2,,,8,,,,8,,,2,4,,105
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" сталь (1/100)",030200505_,43,30,37,34,47,35,33,35,22,18,9,27,31,14,32,31,22,18,26,49,11,8,137,12,10,3,19,13,30,,,46,5,887
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" темная бронза (1/100)",030200816_,,2,4,2,3,2,16,,,,2,6,,,7,20,4,3,,22,4,,10,3,10,,,4,,2,2,22,3,153
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" черный (1/100)",030200491_,158,159,208,115,102,108,106,87,100,114,29,75,123,95,47,72,148,204,162,88,74,134,66,83,10,54,71,34,128,48,110,105,38,3255
"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" шампань (1/100)",030200440_,36,43,30,6,10,24,16,44,22,3,11,17,23,39,24,43,37,20,54,24,35,4,18,12,17,26,10,28,12,24,,11,22,745
"Выкл 1-кл. прох. с инд б/рамки 10А ""BRITE"" алюминий (1/100)",030200867_,,,7,,2,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,19
"Выкл 1-кл. прох. с инд б/рамки 10А ""BRITE"" жемчуг (1/100)",030200870_,,,22,,,,,12,,,,,,,,,2,,,2,,,,,,,,,,,,,,38
"Выкл 1-кл. прох. с инд.  10А ""BRITE"" графит (1/100)",030200874_,3,16,10,1,2,,4,1,,,,,-10,,,,,,,-20,6,,,,,,,,,,,,,13
"Выкл 1-кл. прох. с инд.  10А ""BRITE"" чёрный (1/100)",030200876_,,1,6,4,,,15,,,6,-2,,10,1,,2,,,,,,,,,2,,,,5,,,,,50
"Выкл 1-кл. прох. с инд. 10А ""BRITE"" белый (1/100)",030200455_,1,46,,10,,,19,18,,,,,,20,2,,2,24,,20,5,16,16,10,,4,20,17,,,2,2,,254
"Выкл 1-кл. прох. с инд. 10А ""BRITE"" сталь (1/100)",030200878_,10,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,14
"Выкл 1-кл. прох. с инд. б/рамки 10А ""BRITE"" шампань (1/100)",030200873_,,8,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,6,18
"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" бежевый (1/100)",030200829_,,,1,,,,,,15,,4,1,,,4,,,2,,,2,,1,,,12,,6,2,3,,,1,54
"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" белый (1/100)",030200449_,1,18,5,28,71,71,57,63,55,20,120,37,132,112,6,39,41,63,89,137,57,19,50,27,45,41,33,68,41,51,86,31,,1714
"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" графит (1/100)",030200473_,98,21,37,51,53,5,10,60,13,11,,15,2,26,2,2,,10,10,-6,16,11,10,5,8,14,,3,,6,10,6,1,510
