№,Код 1с,Артикул поставщика,Наименование,Мин. разр. к отгр.
956,030200862_,BR-M42-G-K02,"Рамка 4-мест. ""BRITE"" стекло черный (1/50)",1
957,130300775_,EVP10-32-01-K01,Вилка для плиты ВПпл10-01-Ст з/к 32А белая IEK,10
958,130300774_,ERP10-32-01-K01,Розетка для плиты РПпл10-01-Ст з/к о/у 32А белая IEK,10
959,130300773_,ERP11-32-01-K01,Розетка для плиты РПпл11-01-Ст з/к c/у 32А белая IEK,10
960,280300179_,UKG01-080-040-000-M,"КМ41024 распаячн. d80х40 для полых стен (мет. лапками, с крышкой ) IEK (175)",175
961,280300401_,UKO11-085-085-040-K41-44,КМ41235 распаячн. для о/п 85х85х40 мм IP44 (6 гермовводов) IEK (60),60
962,280300403_,UKOZ11-070-070-040-K41-44,"КМ41236 распаячн. для о/п 70х70х40 IP44 (4 гермоввода, с крышкой) IEK (84)",84
963,280300182_,UKO10-150-110-070-K41-55,КМ41242 распаячн. для о/п 150х110х70 IP55 (10 гермовводов) IEK (30),30
964,280300402_,UKO11-190-140-070-K41-55,КМ41244 распаячн. для о/п 190х140х70 мм IP55 (10 гермовводов IEK (20),20
965,280300404_,UKOZ11-100-100-050-K41-44,"КМ41255 распаячн. для о/п 100х100х50 IP44 (6 гермовводов, с крышкой) IEK (48)",48
966,UKO10-240-195-090-K4,UKO10-240-195-090-K41-55,"КМ41272 распаячная для о/п 240х195х90 мм IP55 (RAL7035, кабельные вводы 5 шт) IEK  E-PRO",6
967,UKO10-240-195-165-K4,UKO10-240-195-165-K41-55,"КМ41274 распаячная для о/п 240х195х165 мм IP55 (RAL7035, кабельные вводы 5 шт) IEK  E-PRO",4
968,250600087_,MKP31-N-02-30-252,Бокс КМПн 1/2 для 1-2-х авт.выкл н/у IEK (252),252
969,280300295_,MKP31-N-04-30-135,Бокс КМПн 1/4 для 4-х авт.выкл н/у IEK (135),135
970,020100001_,PSR01-016-3,Переносная вилка 013- 2р+е 16А 220В IEK,10
971,020100002_,PSR02-016-4,Переносная вилка 014 3р+ре 16А 380В IEK,10
972,020100003_,PSR02-016-5,Переносная вилка 015 3р+ре+n 16А 380В IP 44 IEK,10
973,020100004_,PSR01-032-3,Переносная вилка 023 2р+ре 32А 220В IEK,10
974,020100005_,PSR02-032-4,Переносная вилка 024 3р+ре 32А 380В IEK,10
975,020100006_,PSR02-032-5,Переносная вилка 025 3р+ре+n 32А 380В IEK,10
976,020100007_,PSR02-063-4,Переносная вилка 034 3р+ре 63А 380В IP 54 IEK,2
977,020100044_,PSR02-063-5,Переносная вилка 035 3р+ре+n63А 380В IP 54 IEK,2
978,020100008_,PSR21-016-3,Переносная розетка  213 2р+е 16А 220В IP44 IEK,10
979,020100009_,PSR22-016-4,Переносная розетка  214 3р+ре 16А 380В IP44 IEK,10
980,020100010_,PSR22-016-5,Переносная розетка  215 3р+ре+n 16А 380В IP44 IEK,10
981,020100011_,PSR21-032-3,Переносная розетка  223 2р+ре 32А 220В  IEK,10
982,020100012_,PSR22-032-4,Переносная розетка  224 3р+ре 32А 380В IP44 IEK,10
983,020100013_,PSR22-032-5,Переносная розетка  225 3р+ре+n 32А 380В IEK,10
984,020100015_,PSR11-016-3,Стационарная розетка  113 2р+ре 16А 220В IP44 IEK,10
985,020100017_,PSR12-016-4,Стационарная розетка  114 3р+е 16А 380В IP 44 IEK,10
986,020100018_,PSR12-016-5,Стационарная розетка  115 3р+ре+n 16А 380В IP 44 IEK,10
987,020100019_,PSR11-032-3,Стационарная розетка  123 2р+е 32А 220В IP44 IEK,10
988,020100020_,PSR12-032-4,Стационарная розетка  124 3р+ре 32А 380В IP 44 IEK,10
989,020100021_,PSR12-032-5,Стационарная розетка  125 3р+ре+n 32А 380В IP 44 IEK,10
990,020100022_,PSR12-063-4,Стационарная розетка  134 3р+ре 63А 380В IP 54 IEK,2
991,020100045_,PSR12-063-5,Стационарная розетка  135 3р+ре+n 63А 380В IP 54 IEK,2
992,020100023_,PSR42-016-4,Стационарная розетка  414 скрытая 3р+ре 16А 380В IP44 IEK,10
993,PSN12-032-5,PSN12-032-5,Стационарная розетка  ССИ-125 32А-6ч/200/346-240/415В 3Р+РЕ+N IP44 MAGNUM IEK E-PRO,10
994,290100132_,WYP10-16-03-03-Z-K02,У03 (3места/3метра) чер. IEK,1
995,290100133_,WYP10-16-03-05-Z-K02,У03 (3места/5метров) чер. IEK,1
996,290100134_,WYP10-16-03-03-ZK-K02,У03К (3места/3метра) чер. IEK,1
997,290100135_,WYP10-16-03-05-ZK-K02,У03К (3места/5метров) чер. IEK,1
998,290100136_,WYP10-16-04-03-Z-K02,У04 (4места/3метра) чер. IEK,1
999,290100137_,WYP10-16-04-05-Z-K02,У04 (4места/5метров) чер. IEK,1
1000,290100138_,WYP10-16-04-03-ZK-K02,У04К (4места/3метра) чер. IEK,1
1001,290100139_,WYP10-16-04-05-ZK-K02,У04К (4места/5метров) чер. IEK,1
1002,290100140_,WYP10-16-05-03-Z-K02,У05 (5мест/3метра) чер. IEK,1
1003,290100141_,WYP10-16-05-05-Z-K02,У05 (5мест/5метров) чер. IEK,1
1004,290100142_,WYP10-16-05-03-ZK-K02,У05К (5мест/3метра) чер. IEK,1
1005,290100143_,WYP10-16-05-05-ZK-K02,У05К (5мест/5метров) чер. IEK,1
1006,290100144_,WYP10-06-03-03-K02,У3 (3места/3метра) чер. IEK,1
1007,290100145_,WYP10-06-03-05-K02,У3 (3места/5метров) чер. IEK,1
1008,280300951_,KYP11-16-03-00-Z,Розетка переносная разб. К03 3 места CLASSIC IEK ,38
1009,280300950_,KYP11-16-04-00-Z,Розетка переносная разб. К04 4 места CLASSIC IEK ,32
1010,280300696_,KYP11-16-06-00-ZK,Розетка переносная разб. с выкл. К06В 6 мест CLASSIC IEK ,15
1011,290200126_,TW-KP27-16-01-15-02,"Катушка УК15 1мест. 2P+PE/15м+2м 3х1,5мм2 автосм.TWIST IEK",1
1012,290200131_,TW-KP27-16-04-20,"Катушка УК20 4мест. 2P+PE/20м 3х1,5мм2 автосм. TWIST IEK",1
1013,290200127_,TW-KP27-16-01-25-02,"Катушка УК25 1мест. 2P+PE/25м+2м 3х1,5мм2 автосм. TWIST IEK",1
1014,290100004_,WKP15-16-04-10,УК10 Катушка (10м) IEK,10
1015,290200005_,WKP15-16-04-20,УК20 Катушка (20м) IEK,1
1016,290200008_,WKP15-16-04-30,УК30 Катушка (30м) IEK,1
1017,290200009_,WKP15-16-04-40,УК40 Катушка (40м) IEK,1
1018,290200006_,WKP15-16-04-50,УК50 Катушка (50м) IEK,1
1019,290100031_,WFP10-16-03-01-N,"СФ-03К-вык (3 мест/1,5м.) IEK",6
1020,290100032_,WFP10-16-05-01-N,"СФ-05К-вык (5 мест/1,5м.) IEK",5
1021,290100033_,WFP10-16-05-03-N,СФ-05К-вык (5 мест/3м.) IEK,1
1022,290100034_,WFP10-16-05-05-N,СФ-05К-вык (5 мест/5м.) IEK,1
1023,290100029_,WUP10-05-K09-N,Шнур УШ-01РВ (оранж с кругл  вилк и розеткой 5м) IEK,10
1024,290100101_,WUP20-02-K01,"Шнур УШ-1КВ ( с плоск вилк и выкл 2x0,75/2метр) IEK",10
1025,WUP20-02-K02,WUP20-02-K02,"Шнур УШ-1КВ опрессованный с вилкой со встроенным выключателем  2х0,75/2метра, черный IEK E-PRO",10
1026,130301120_,EVP12-16-01-K01,ВПу12-01-Ст Вилка разборная угловая с з/к с кольцом 16А белая ,50
1027,130301597_,EVP12-16-01-K02,ВПу12-02-Ст Вилка разборная угловая с з/к с кольцом 16А черная IEK  ,50
1028,CKK10-100-060-1-K01,CKK10-100-060-1-K01,Кабель-канал 100х60 белый ЭЛЕКОР IEK (за штуку) (8),8
1029,CKK10-060-040-1-K01-,CKK10-060-040-1-K01-018,Кабель-канал 60х40 белый ЭЛЕКОР IEK (за штуку) (18),18
1030,CKK10-025-016-1-K24_,CKK10-025-016-1-K24,Кабель-канал 25х16 дуб ЭЛЕКОР IEK (за штуку) (50),50
1031,CKK10-040-025-1-K24_,CKK10-040-025-1-K24,Кабель-канал 40х25 дуб ЭЛЕКОР IEK (за штуку) (18),18
1032,CKK10-040-025-1-K28_,CKK10-040-025-1-K28,Кабель-канал 40х25 ольха ЭЛЕКОР IEK (за штуку) (18),18
1033,CKK10-025-016-1-K34_,CKK10-025-016-1-K34,Кабель-канал 25х16 сосна ЭЛЕКОР IEK (за штуку) (50),50
1034,CKK10-040-025-1-K34_,CKK10-040-025-1-K34,Кабель-канал 40х25 сосна ЭЛЕКОР IEK (за штуку) (18),18
1035,EL-KK10-100-060-1-K0,EL-KK10-100-060-1-K02,Кабель-канал 100х60 черный ЭЛЕКОР IEK (за штуку) (8),8
1036,EL-KK10-025-016-1-K0,EL-KK10-025-016-1-K02,Кабель-канал 25х16 черный ЭЛЕКОР IEK (за штуку) (50м),50
1037,EL-KK10-025-025-1-K0,EL-KK10-025-025-1-K02,Кабель-канал 25х25 черный ЭЛЕКОР IEK (за штуку) (32),32
1038,EL-KK10-040-025-1-K0,EL-KK10-040-025-1-K02,Кабель-канал 40х25 черный ЭЛЕКОР IEK (за штуку) (24),24
1039,EL-KK10-060-040-1-K0,EL-KK10-060-040-1-K02,Кабель-канал 60х40 черный ЭЛЕКОР IEK (за штуку) (18),18
1040,280100001_,CKK10-100-040-1-K01,Кабель-канал 100х40 белый ЭЛЕКОР IEK (8),8
1041,280100002_,CKK10-100-060-1-K01,Кабель-канал 100х60 белый ЭЛЕКОР IEK (8),8
1042,280100003_,CKK10-012-012-1-K01,Кабель-канал 12х12 белый ЭЛЕКОР IEK (120),120
1043,280100006_,CKK10-015-010-1-K01,Кабель-канал 15х10 белый ЭЛЕКОР IEK (144),144
1044,280100004_,CKK10-016-016-1-K01,Кабель-канал 16х16 белый ЭЛЕКОР IEK (84),84
1045,280100005_,CKK10-020-010-1-K01,Кабель-канал 20х10 белый ЭЛЕКОР IEK (96),96
1046,280100007_,CKK10-025-016-1-K01,Кабель-канал 25х16 белый ЭЛЕКОР IEK (50),50
1047,280100016_,CKK10-025-025-1-K01,Кабель-канал 25х25 белый ЭЛЕКОР IEK (32),32
1048,280100009_,CKK10-040-016-1-K01,Кабель-канал 40х16 белый ЭЛЕКОР IEK (30),30
1049,280100010_,CKK10-040-025-1-K01,Кабель-канал 40х25 белый ЭЛЕКОР IEK (24),24
1050,280100011_,CKK10-040-040-1-K01-024,Кабель-канал 40х40 белый ЭЛЕКОР IEK (24),24
1051,280100012_,CKK10-060-040-1-K01-018,Кабель-канал 60х40 белый ЭЛЕКОР IEK (18),18
1052,280100013_,CKK10-060-060-1-K01,Кабель-канал 60х60 белый ЭЛЕКОР IEK (12),12
1053,280100014_,CKK10-080-040-1-K01-010,Кабель-канал 80х40 белый ЭЛЕКОР IEK (10),10
1054,280100015_,CKK10-080-060-1-K01-008,Кабель-канал 80х60 белый ЭЛЕКОР IEK (8),8
1055,280100339_,CKK10-012-012-1-K24,Кабель-канал 12х12 дуб ЭЛЕКОР IEK (120),120
1056,280100340_,CKK10-015-010-1-K24,Кабель-канал 15х10 дуб ЭЛЕКОР IEK (144),144
1057,280100341_,CKK10-016-016-1-K24,Кабель-канал 16х16 дуб ЭЛЕКОР IEK (84),84
1058,280100342_,CKK10-020-010-1-K24,Кабель-канал 20х10 дуб ЭЛЕКОР IEK (96),96
1059,280100240_,CKK10-025-016-1-K24,Кабель-канал 25х16 дуб ЭЛЕКОР IEK (50),50
1060,280100343_,CKK10-040-016-1-K24,Кабель-канал 40х16 дуб ЭЛЕКОР IEK (30),30
1061,280100344_,CKK10-040-025-1-K24,Кабель-канал 40х25 дуб ЭЛЕКОР IEK (18),18
1062,280100401_,CKK10-012-012-1-K28,Кабель-канал 12х12 ольха ЭЛЕКОР IEK (120),120
1063,280100402_,CKK10-015-010-1-K28,Кабель-канал 15х10 ольха ЭЛЕКОР IEK (144),144
1064,280100403_,CKK10-016-016-1-K28,Кабель-канал 16х16 ольха ЭЛЕКОР IEK (84),84
1065,280100404_,CKK10-020-010-1-K28,Кабель-канал 20х10 ольха ЭЛЕКОР IEK (96),96
1066,280100405_,CKK10-025-016-1-K28,Кабель-канал 25х16 ольха ЭЛЕКОР IEK (50),50
1067,280100406_,CKK10-040-016-1-K28,Кабель-канал 40х16 ольха ЭЛЕКОР IEK (30),30
1068,280100407_,CKK10-040-025-1-K28,Кабель-канал 40х25 ольха ЭЛЕКОР IEK (18),18
1069,280100373_,CKK10-012-012-1-K34,Кабель-канал 12х12 сосна ЭЛЕКОР IEK (120),120
1070,280100374_,CKK10-015-010-1-K34,Кабель-канал 15х10 сосна ЭЛЕКОР IEK (144),144
1071,280100375_,CKK10-016-016-1-K34,Кабель-канал 16х16 сосна ЭЛЕКОР IEK (84),84
1072,280100376_,CKK10-020-010-1-K34,Кабель-канал 20х10 сосна ЭЛЕКОР IEK (96),96
1073,280100377_,CKK10-025-016-1-K34,Кабель-канал 25х16 сосна ЭЛЕКОР IEK (50),50
1074,280100378_,CKK10-040-016-1-K34,Кабель-канал 40х16 сосна ЭЛЕКОР IEK (30),30
1075,280100379_,CKK10-040-025-1-K34,Кабель-канал 40х25 сосна ЭЛЕКОР IEK (18),18
1076,280100418_,EL-KK10-100-040-1-K02,Кабель-канал 100х40 черный ЭЛЕКОР IEK (8),8
1077,280100419_,EL-KK10-100-060-1-K02,Кабель-канал 100х60 черный ЭЛЕКОР IEK (8),8
1078,280100408_,EL-KK10-012-012-1-K02,Кабель-канал 12х12 черный ЭЛЕКОР IEK (120м),120
1079,280100409_,EL-KK10-015-010-1-K02,Кабель-канал 15х10 черный ЭЛЕКОР IEK (144м),144
1080,280100336_,EL-KK10-016-016-1-K02,Кабель-канал 16х16 черный ЭЛЕКОР IEK (84м),84
1081,280100410_,EL-KK10-020-010-1-K02,Кабель-канал 20х10 черный ЭЛЕКОР IEK (96м),96
1082,280100337_,EL-KK10-025-016-1-K02,Кабель-канал 25х16 черный ЭЛЕКОР IEK (50м),50
1083,280100411_,EL-KK10-025-025-1-K02,Кабель-канал 25х25 черный ЭЛЕКОР IEK (32),32
1084,280100412_,EL-KK10-040-016-1-K02,Кабель-канал 40х16 черный ЭЛЕКОР IEK (30),30
1085,280100338_,EL-KK10-040-025-1-K02,Кабель-канал 40х25 черный ЭЛЕКОР IEK (24),24
1086,280100413_,EL-KK10-040-040-1-K02,Кабель-канал 40х40 черный ЭЛЕКОР IEK (24),24
1087,280100414_,EL-KK10-060-040-1-K02,Кабель-канал 60х40 черный ЭЛЕКОР IEK (18),18
1088,280100415_,EL-KK10-060-060-1-K02,Кабель-канал 60х60 черный ЭЛЕКОР IEK (12),12
1089,280100416_,EL-KK10-080-040-1-K02,Кабель-канал 80х40 черный ЭЛЕКОР IEK (10),10
1090,280100417_,EL-KK10-080-060-1-K02,Кабель-канал 80х60 черный ЭЛЕКОР IEK (8),8
1091,270300078_,CKM50-025-025-1-K03,Кабель.канал перф.  25х25 ИМПАКТ IEK (100),100
1092,270300079_,CKM50-025-040-1-K03,Кабель.канал перф.  25х40 ИМПАКТ IEK (60),60
1093,280100020_,CKM50-040-040-1-K03,Кабель.канал перф.  40х40 ИМПАКТ IEK (36),36
1094,270300105_,CKM50-040-060-1-K03,Кабель.канал перф.  40х60 ИМПАКТ IEK (24),24
1095,270300150_,CKM50-060-060-1-K03,Кабель.канал перф.  60х60 ИМПАКТ IEK (16),16
1096,270300200_,CKM50-060-040-1-K03,Кабель-канал перф.  60х40 ИМПАКТ IEK (24),24
1097,270300151_,CKM50-080-060-1-K03,Кабель-канал перф.  80х60 ИМПАКТ IEK (16),16
1098,270300153_,CKM50-100-060-1-K03,Кабель-канал перф. 100х60 ИМПАКТ IEK (12),12
1099,280200031_,CKMP10D-N-100-040-K01,Внешний угол КМН 100х40 Белый ЭЛЕКОР IEK (2),11
1100,280200032_,CKMP10D-N-100-060-K01,Внешний угол КМН 100х60 Белый ЭЛЕКОР IEK (2),6
1101,280200033_,CKMP10D-N-015-010-K01,Внешний угол КМН 15х10 Белый ЭЛЕКОР IEK (4),1
1102,280200034_,CKMP10D-N-016-016-K01,Внешний угол КМН 16х16 Белый ЭЛЕКОР IEK (4),1
1103,280200035_,CKMP10D-N-020-010-K01,Внешний угол КМН 20х10 Белый ЭЛЕКОР IEK (4),1
1104,280200087_,CKMP10D-N-025-016-K01,Внешний угол КМН 25х16 Белый ЭЛЕКОР IEK (4),1
1105,280200088_,CKMP10D-N-040-016-K01,Внешний угол КМН 40х16 Белый ЭЛЕКОР IEK (4),1
1106,280200108_,CKMP10D-N-040-025-K01,Внешний угол КМН 40х25 Белый ЭЛЕКОР IEK (4),1
1107,280200036_,CKMP10D-N-060-040-K01,Внешний угол КМН 60х40 Белый ЭЛЕКОР IEK (4),1
1108,280200109_,CKMP10D-V-100-040-K01,Внутренний угол КМВ 100х40 Белый ЭЛЕКОР IEK (2),8
1109,280200037_,CKMP10D-V-100-060-K01,Внутренний угол КМВ 100х60 Белый ЭЛЕКОР IEK (2),5
1110,280200085_,CKMP10D-V-015-010-K01,Внутренний угол КМВ 15х10 Белый ЭЛЕКОР IEK (4),1
1111,280200038_,CKMP10D-V-016-016-K01,Внутренний угол КМВ 16х16 Белый ЭЛЕКОР IEK (4),1
1112,280200039_,CKMP10D-V-020-010-K01,Внутренний угол КМВ 20х10 Белый ЭЛЕКОР IEK (4),1
1113,280200086_,CKMP10D-V-025-016-K01,Внутренний угол КМВ 25х16 Белый ЭЛЕКОР IEK (4),1
1114,280200040_,CKMP10D-V-040-016-K01,Внутренний угол КМВ 40х16 Белый ЭЛЕКОР IEK (4),1
1115,280200041_,CKMP10D-V-040-025-K01,Внутренний угол КМВ 40х25 Белый ЭЛЕКОР IEK (4),1
1116,280200042_,CKMP10D-V-060-040-K01,Внутренний угол КМВ 60х40 Белый ЭЛЕКОР IEK (4),1
1117,280200043_,CKMP10D-Z-100-040-K01,Заглушка КМЗ 100х40 Белый ЭЛЕКОР IEK (2),54
1118,280200044_,CKMP10D-Z-100-060-K01,Заглушка КМЗ 100х60 Белый ЭЛЕКОР IEK (2),36
1119,280200045_,CKMP10D-Z-015-010-K01,Заглушка КМЗ 15х10 Белый ЭЛЕКОР IEK (4),1
1120,280200046_,CKMP10D-Z-016-016-K01,Заглушка КМЗ 16х16 Белый ЭЛЕКОР IEK (4),1
1121,280200047_,CKMP10D-Z-020-010-K01,Заглушка КМЗ 20х10 Белый ЭЛЕКОР IEK (4),1
1122,280200080_,CKMP10D-Z-025-016-K01,Заглушка КМЗ 25х16 Белый ЭЛЕКОР IEK (4),1
1123,280200048_,CKMP10D-Z-040-016-K01,Заглушка КМЗ 40х16 Белый ЭЛЕКОР IEK (4),1
1124,280200081_,CKMP10D-Z-040-025-K01,Заглушка КМЗ 40х25 Белый ЭЛЕКОР IEK (4),1
1125,280200049_,CKMP10D-Z-060-040-K01,Заглушка КМЗ 60х40 Белый ЭЛЕКОР IEK (4),1
1126,280200050_,CKMP10D-P-100-040-K01,Поворот 90° КМП 100х40 Белый ЭЛЕКОР IEK (2),6
1127,280200051_,CKMP10D-P-100-060-K01,Поворот 90° КМП 100х60 Белый ЭЛЕКОР IEK (2),4
1128,280200052_,CKMP10D-P-015-010-K01,Поворот 90° КМП 15х10 Белый ЭЛЕКОР IEK (4),1
1129,280200053_,CKMP10D-P-016-016-K01,Поворот 90° КМП 16х16 Белый ЭЛЕКОР IEK (4),1
1130,280200082_,CKMP10D-P-020-010-K01,Поворот 90° КМП 20х10 Белый ЭЛЕКОР IEK (4),1
1131,280200054_,CKMP10D-P-025-016-K01,Поворот 90° КМП 25х16 Белый ЭЛЕКОР IEK (4),1
1132,280200055_,CKMP10D-P-040-016-K01,Поворот 90° КМП 40х16 Белый ЭЛЕКОР IEK (4),1
1133,280200056_,CKMP10D-P-040-025-K01,Поворот 90° КМП 40х25 Белый ЭЛЕКОР IEK (4),1
1134,280200057_,CKMP10D-P-060-040-K01,Поворот 90° КМП 60х40 Белый ЭЛЕКОР IEK (4),1
1135,280200058_,CKMP10D-S-100-040-K01,Соединитель на стык КМС 100х40 Белый ЭЛЕКОР IEK (2),39
1136,280200059_,CKMP10D-S-100-060-K01,Соединитель на стык КМС 100х60 Белый ЭЛЕКОР IEK (2),26
1137,280200060_,CKMP10D-S-015-010-K01,Соединитель на стык КМС 15х10 Белый ЭЛЕКОР IEK (4),1
1138,280200061_,CKMP10D-S-016-016-K01,Соединитель на стык КМС 16х16 Белый ЭЛЕКОР IEK (4),1
1139,280200062_,CKMP10D-S-020-010-K01,Соединитель на стык КМС 20х10 Белый ЭЛЕКОР IEK (4),1
1140,280200083_,CKMP10D-S-025-016-K01,Соединитель на стык КМС 25х16 Белый ЭЛЕКОР IEK (4),1
1141,280200063_,CKMP10D-S-040-016-K01,Соединитель на стык КМС 40х16 Белый ЭЛЕКОР IEK (4),1
1142,280200064_,CKMP10D-S-040-025-K01,Соединитель на стык КМС 40х25 Белый ЭЛЕКОР IEK (4),1
1143,280200065_,CKMP10D-S-060-040-K01,Соединитель на стык КМС 60х40 Белый ЭЛЕКОР IEK (4),1
1144,280200066_,CKMP10D-T-100-040-K01,Т-образный угол КМТ 100х40 Белый ЭЛЕКОР IEK (2),6
1145,280200067_,CKMP10D-T-100-060-K01,Т-образный угол КМТ 100х60 Белый ЭЛЕКОР IEK (2),4
1146,280200068_,CKMP10D-T-015-010-K01,Т-образный угол КМТ 15х10 Белый ЭЛЕКОР IEK (4),1
1147,280200069_,CKMP10D-T-016-016-K01,Т-образный угол КМТ 16х16 Белый ЭЛЕКОР IEK (4),1
1148,280200070_,CKMP10D-T-020-010-K01,Т-образный угол КМТ 20х10 Белый ЭЛЕКОР IEK (4),1
1149,280200084_,CKMP10D-T-025-016-K01,Т-образный угол КМТ 25х16 Белый ЭЛЕКОР IEK (4),1
1150,280200071_,CKMP10D-T-040-016-K01,Т-образный угол КМТ 40х16 Белый ЭЛЕКОР IEK (4),1
1151,280200072_,CKMP10D-T-040-025-K01,Т-образный угол КМТ 40х25 Белый ЭЛЕКОР IEK (4),1
1152,280200073_,CKMP10D-T-060-040-K01,Т-образный угол КМТ 60х40 Белый ЭЛЕКОР IEK (4),1
1153,280100116_,CKK-40D-W-080-040-K01,Внешний изменяемый угол  80х40  ПРАЙМЕР (108),12
1154,280200166_,CKK-40D-W-100-040-K01,Внешний изменяемый угол 100х40  ПРАЙМЕР (108),12
1155,280100117_,CKK-40D-X-080-040-K01,Внутренний изменяемый угол  80х40  ПРАЙМЕР (108),12
1156,280200167_,CKK-40D-X-100-040-K01,Внутренний изменяемый угол 100х40  ПРАЙМЕР (108),12
1157,280100120_,CKK-40D-VO2-K01,Выключатель 1-кл  на 2 модуля ВК0-21-00-П ПРАЙМЕР (100),10
1158,280100119_,CKK-40D-VD2-K01,Выключатель 2-кл  на 2 модуля ВК1-22-00-П ПРАЙМЕР (100),10
1159,280100118_,CKK-40D-Z-080-040-K01,Заглушка  80х40  ПРАЙМЕР (216),12
1160,ст-9948468,CKK-40D-Z-100-040-K01,Заглушка 100х40  ПРАЙМЕР (216),12
1161,280100141_,CKK-40D-P40-K01,Разделительная перегородка высотой 40мм ПРАЙМЕР (160),160
1162,280100125_,CKK-40D-P-080-040-K01,Плоский изменяемый угол  80х40  ПРАЙМЕР (96),12
1163,280100124_,CKK-40D-P-100-040-K01,Плоский изменяемый угол 100х40  ПРАЙМЕР (96),12
1164,280100126_,CKK-40D-RSU4-060-K01,Рамка и суппорт  на 4 модуля 60 мм ПРАЙМЕР (160),10
1165,280100127_,CKK-40D-RSU4-075-K01,Рамка и суппорт  на 4 модуля 75 мм ПРАЙМЕР (160),10
1166,280100139_,CKK-40D-RSU6-060-K01,Рамка и суппорт  на 6 модулей 60 мм ПРАЙМЕР (120),10
1167,280100140_,CKK-40D-RSU6-075-K01,Рамка и суппорт  на 6 модулей 75 мм ПРАЙМЕР (120),10
1168,280100128_,CKK-40D-RU2-K01,Рамка и суппорт  универсал. на 2 модуля  ПРАЙМЕР (180),10
1169,280100129_,CKK-40D-RI1-K01,"Розетка информационная RJ-45 UTP кат.5е,1 модуль РКИ-10-00-П ПРАЙМЕР (100)",10
1170,280100130_,CKK-40D-RI2-K01,"Розетка информационная RJ-45 UTP кат.5е,2 модуль РКИ-20-00-П ПРАЙМЕР (100)",10
1171,280100131_,CKK-40D-RSZB2-K01-K,"Розетка с з/к 2к, 2 модуля (белая) РКС-20-30-П ПРАЙМЕР (100)",10
1172,280100132_,CKK-40D-RSZK2-K04-K,"Розетка с з/к 2к, 2 модуля (красная) РКС-20-32-П ПРАЙМЕР (10)",10
1173,280100133_,CKK-40D-RT1-K01,"Розетка телеф RJ-11 кат.3, 1 модуль РКФ-10-00-П ПРАЙМЕР (100)",10
1174,280100138_,CKK-40D-SL60-K01,Соеденитель на стык лицевой  для крышки 60 мм ПРАЙМЕР (720),20
1175,280100137_,CKK-40D-SL75-K01,Соеденитель на стык лицевой  для крышки 75 мм ПРАЙМЕР (720),20
1176,280100134_,CKK-40D-SB40-K01,Соединитель на стык боковой высотой 40 мм.  ПРАЙМЕР (1440),40
1177,280100136_,CKK-40D-T-080-040-K01,Т-угол  80х40  ПРАЙМЕР (108),12
1178,280100135_,CKK-40D-T-100-040-K01,Т-угол 100х40  ПРАЙМЕР (108),12
1179,280100123_,CKK40-080-040-1-K01,Кабель-канал  80х40 парапетный ПРАЙМЕР (24),24
1180,280100122_,CKK40-100-040-1-K01,Кабель-канал 100х40 парапетный  ПРАЙМЕР (16),16
1181,130300791_,CTG12-040-K04-050-R, Трубы гибкая двустенная красная (с протяжкой)   Ø40 IEK (50) ,50
1182,130300792_,CTG12-050-K04-050-R, Трубы гибкая двустенная красная (с протяжкой)   Ø50 IEK (50) ,50
1183,130300779_,CTG12-063-K04-050-R, Трубы гибкая двустенная красная (с протяжкой)   Ø63 IEK (50) ,50
1184,130300771_,CTG12-075-K04-050-R, Трубы гибкая двустенная красная (с протяжкой)   Ø75 IEK (50) ,50
1185,130300772_,CTG12-090-K04-050-R, Трубы гибкая двустенная красная (с протяжкой)   Ø90 IEK (50),50
1186,130300780_,CTG12-110-K04-050-R, Трубы гибкая двустенная красная (с протяжкой)  Ø110  IEK (50),50
1187,130301232_,CTG12-160-K04-035-R, Трубы гибкая двустенная красная (с протяжкой)  Ø160  IEK (35) ,35
1188,311101233_,USWBK-D20-20,"Бандаж кабельный БК 20мм с ключом (2,0м/упак) IEK ",1
1189,311101234_,USWBK-D25-20,"Бандаж кабельный БК 25мм с ключом (2,0м/упак) IEK ",1
1190,280300128_,CLP10-100-100-3," Лоток перфорированный (100х100х3000) (0,7 мм) IEK (6)",12
1191,280300034_,CLP10-100-200-3," Лоток перфорированный (100х200х3000) (0,8 мм) IEK (6)",6
1192,280300035_,CLP10-100-300-3, Лоток перфорированный (100х300х3000) (1 мм) IEK (6),6
1193,280300036_,CLP10-100-400-3," Лоток перфорированный (100х400х3000) (1,2 мм) IEK (6)",6
1194,280300086_,CLP10-050-050-3," Лоток перфорированный (50 х50х3000) (0,7 мм) IEK (6)",18
1195,280300012_,CLP10-050-100-3," Лоток перфорированный (50х100х3000) (0,7 мм) IEK (6)",12
1196,280300103_,CLP10-050-150-3," Лоток перфорированный (50х150х3000) (0,7 мм) IEK (6)",18
1197,280300013_,CLP10-050-200-3," Лоток перфорированный (50х200х3000) (0,7 мм) IEK (6)",18
1198,280300030_,CLP10-050-300-3," Лоток перфорированный (50х300х3000) (0,8 мм) IEK (6)",12
1199,280300031_,CLP10-050-400-3, Лоток перфорированный (50х400х3000) (1 мм) IEK (6),12
1200,280300028_,CLP10-050-500-3," Лоток перфорированный (50х500х3000) (1,2 мм) IEK (6)",6
